DATE,"PPI EU(growth rate, previous year, not seasonally adjusted)"
2000-01-01,2.91005291
2000-02-01,3.439153439
2000-03-01,3.698811096
2000-04-01,3.421052632
2000-05-01,3.947368421
2000-06-01,4.336399474
2000-07-01,4.183006536
2000-08-01,4.041720991
2000-09-01,4.545454545
2000-10-01,4.663212435
2000-11-01,4.392764858
2000-12-01,3.474903475
2001-01-01,3.213367609
2001-02-01,2.941176471
2001-03-01,2.675159236
2001-04-01,2.798982188
2001-05-01,2.53164557
2001-06-01,2.141057935
2001-07-01,1.254705144
2001-08-01,1.002506266
2001-09-01,0.248447205
2001-10-01,-0.618811881
2001-11-01,-0.99009901
2001-12-01,-0.746268657
2002-01-01,-0.373599004
2002-02-01,-0.621118012
2002-03-01,-0.248138958
2002-04-01,0
2002-05-01,-0.24691358
2002-06-01,-0.493218249
2002-07-01,0
2002-08-01,0.372208437
2002-09-01,0.495662949
2002-10-01,1.120797011
2002-11-01,1.125
2002-12-01,1.629072682
2003-01-01,1.875
2003-02-01,2.375
2003-03-01,2.23880597
2003-04-01,0.99009901
2003-05-01,0.495049505
2003-06-01,0.619578686
2003-07-01,0.743494424
2003-08-01,0.618046972
2003-09-01,0.369913687
2003-10-01,0.369458128
2003-11-01,0.86526576
2003-12-01,0.493218249
2004-01-01,0.36809816
2004-02-01,0.122100122
2004-03-01,0.486618005
2004-04-01,1.960784314
2004-05-01,3.325123153
2004-06-01,3.325123153
2004-07-01,3.6900369
2004-08-01,4.054054054
2004-09-01,4.2997543
2004-10-01,5.030674847
2004-11-01,4.656862745
2004-12-01,4.417177914
2005-01-01,4.278728606
2005-02-01,4.268292683
2005-03-01,4.237288136
2005-04-01,3.846153846
2005-05-01,2.74135876
2005-06-01,3.218116806
2005-07-01,3.084223013
2005-08-01,3.069657615
2005-09-01,3.297997644
2005-10-01,2.686915888
2005-11-01,2.459016393
2005-12-01,2.820211516
2006-01-01,3.282532239
2006-02-01,3.391812865
2006-03-01,3.135888502
2006-04-01,3.587962963
2006-05-01,4.292343387
2006-06-01,4.041570439
2006-07-01,4.372842348
2006-08-01,4.009163803
2006-09-01,2.850627138
2006-10-01,2.502844141
2006-11-01,2.857142857
2006-12-01,2.857142857
2007-01-01,2.383654938
2007-02-01,2.375565611
2007-03-01,2.59009009
2007-04-01,2.458100559
2007-05-01,2.55839822
2007-06-01,2.663706992
2007-07-01,2.315325248
2007-08-01,2.31277533
2007-09-01,3.436807095
2007-10-01,4.10654828
2007-11-01,5.111111111
2007-12-01,5.222222222
2008-01-01,5.543237251
2008-02-01,5.745856354
2008-03-01,5.927552141
2008-04-01,5.997818975
2008-05-01,6.8329718
2008-06-01,7.459459459
2008-07-01,7.86637931
2008-08-01,6.996770721
2008-09-01,6.216505895
2008-10-01,4.051172708
2008-11-01,1.057082452
2008-12-01,-0.950369588
2009-01-01,-2.31092437
2009-02-01,-3.03030303
2009-03-01,-4.352331606
2009-04-01,-4.938271605
2009-05-01,-6.091370558
2009-06-01,-6.438631791
2009-07-01,-7.392607393
2009-08-01,-6.237424547
2009-09-01,-6.155398587
2009-10-01,-4.610655738
2009-11-01,-2.405857741
2009-12-01,-0.533049041
2010-01-01,1.075268817
2010-02-01,1.400862069
2010-03-01,2.600216685
2010-04-01,3.463203463
2010-05-01,3.783783784
2010-06-01,3.440860215
2010-07-01,3.77562028
2010-08-01,3.433476395
2010-09-01,3.978494624
2010-10-01,4.189044039
2010-11-01,4.287245445
2010-12-01,5.144694534
2011-01-01,5.531914894
2011-02-01,6.376195537
2011-03-01,6.758183738
2011-04-01,6.485355649
2011-05-01,5.9375
2011-06-01,5.717255717
2011-07-01,6.029106029
2011-08-01,5.601659751
2011-09-01,5.584281282
2011-10-01,5.257731959
2011-11-01,5.138746146
2011-12-01,4.077471967
2012-01-01,3.427419355
2012-02-01,2.997002997
2012-03-01,2.571711177
2012-04-01,2.062868369
2012-05-01,1.671583088
2012-06-01,1.179941003
2012-07-01,1.078431373
2012-08-01,2.062868369
2012-09-01,2.154750245
2012-10-01,2.056807052
2012-11-01,1.56402737
2012-12-01,1.469147894
2013-01-01,1.26705653
2013-02-01,1.163918526
2013-03-01,0.385728062
2013-04-01,-0.384985563
2013-05-01,0
2013-06-01,0.388726919
2013-07-01,0.484966052
2013-08-01,-0.192492782
2013-09-01,-0.575263663
2013-10-01,-0.959692898
2013-11-01,-0.769971126
2013-12-01,-0.386100386
2014-01-01,-0.769971126
2014-02-01,-1.150527325
2014-03-01,-1.152737752
2014-04-01,-0.483091787
2014-05-01,-0.386847195
2014-06-01,-0.096805421
2014-07-01,-0.482625483
2014-08-01,-0.675024108
2014-09-01,-0.867888139
2014-10-01,-0.968992248
2014-11-01,-1.357904947
2014-12-01,-2.61627907
2015-01-01,-3.588748788
2015-02-01,-2.909796314
2015-03-01,-2.235179786
2015-04-01,-2.038834951
2015-05-01,-1.747572816
2015-06-01,-2.034883721
2015-07-01,-2.230843841
2015-08-01,-3.009708738
2015-09-01,-3.210116732
2015-10-01,-2.935420744
2015-11-01,-2.654867257
2015-12-01,-2.189054726
2016-01-01,-1.810865191
2016-02-01,-2.797202797
2016-03-01,-2.882703777
2016-04-01,-2.973240833
2016-05-01,-2.56916996
2016-06-01,-1.978239367
2016-07-01,-1.686507937
2016-08-01,-0.900900901
2016-09-01,-0.301507538
2016-10-01,0.705645161
2016-11-01,0.909090909
2016-12-01,2.543234995
2017-01-01,4.098360656
2017-02-01,4.727646454
2017-03-01,4.196519959
2017-04-01,4.290091931
2017-05-01,3.346855984
2017-06-01,2.522704339
2017-07-01,2.522704339
2017-08-01,3.03030303
2017-09-01,3.225806452
2017-10-01,2.802802803
2017-11-01,3.103103103
2017-12-01,2.281746032
2018-01-01,2.066929134
2018-02-01,1.57016683
2018-03-01,1.866404715
2018-04-01,2.056807052
2018-05-01,3.042198234
2018-06-01,3.641732283
2018-07-01,3.74015748
2018-08-01,3.529411765
2018-09-01,3.41796875
2018-10-01,3.602726388
2018-11-01,2.815533981
2018-12-01,1.745877789
2019-01-01,1.157184185
2019-02-01,1.739130435
2019-03-01,1.832208293
2019-04-01,1.823416507
2019-05-01,1.333333333
2019-06-01,0.474833808
2019-07-01,0.569259962
2019-08-01,0.09469697
2019-09-01,0
2019-10-01,-0.563909774
2019-11-01,-0.188857413
2019-12-01,0.953288847
2020-01-01,1.2392755
