Date,U.S. Ending Stocks excluding SPR of Crude Oil and Petroleum Products (Thousand Barrels),
Jan-2000,908950,
Feb-2000,896840,
Mar-2000,906889,
Apr-2000,936019,
May-2000,948328,
Jun-2000,957061,
Jul-2000,969283,
Aug-2000,960429,
Sep-2000,956564,
Oct-2000,942158,
Nov-2000,957908,
Dec-2000,926869,
Jan-2001,936853,
Feb-2001,931225,
Mar-2001,941766,
Apr-2001,979176,
May-2001,1011995,
Jun-2001,1019750,
Jul-2001,1024596,
Aug-2001,1004515,
Sep-2001,1034180,
Oct-2001,1031781,
Nov-2001,1040432,
Dec-2001,1036108,
Jan-2002,1036048,
Feb-2002,1016474,
Mar-2002,1011336,
Apr-2002,1021697,
May-2002,1039687,
Jun-2002,1039686,
Jul-2002,1032300,
Aug-2002,1014085,
Sep-2002,986837,
Oct-2002,983412,
Nov-2002,982567,
Dec-2002,948819,
Jan-2003,905156,
Feb-2003,861205,
Mar-2003,875231,
Apr-2003,896497,
May-2003,929784,
Jun-2003,951215,
Jul-2003,958027,
Aug-2003,953672,
Sep-2003,973605,
Oct-2003,970807,
Nov-2003,964607,
Dec-2003,929915,
Jan-2004,915198,
Feb-2004,910267,
Mar-2004,918649,
Apr-2004,922155,
May-2004,948726,
Jun-2004,968504,
Jul-2004,980436,
Aug-2004,985215,
Sep-2004,971231,
Oct-2004,966865,
Nov-2004,983456,
Dec-2004,969205,
Jan-2005,951396,
Feb-2005,964389,
Mar-2005,956276,
Apr-2005,993930,
May-2005,1019655,
Jun-2005,1027092,
Jul-2005,1028368,
Aug-2005,999218,
Sep-2005,994616,
Oct-2005,1015049,
Nov-2005,1027710,
Dec-2005,997007,
Jan-2006,1013056,
Feb-2006,1018226,
Mar-2006,988777,
Apr-2006,996204,
May-2006,1018569,
Jun-2006,1024666,
Jul-2006,1038895,
Aug-2006,1058721,
Sep-2006,1081033,
Oct-2006,1064036,
Nov-2006,1040170,
Dec-2006,1014444,
Jan-2007,1018204,
Feb-2007,960329,
Mar-2007,971659,
Apr-2007,987221,
May-2007,1016248,
Jun-2007,1022209,
Jul-2007,1025952,
Aug-2007,1008151,
Sep-2007,1006661,
Oct-2007,996320,
Nov-2007,976925,
Dec-2007,950692,
Jan-2008,960721,
Feb-2008,947137,
Mar-2008,936926,
Apr-2008,947445,
May-2008,952350,
Jun-2008,962536,
Jul-2008,973490,
Aug-2008,985884,
Sep-2008,984435,
Oct-2008,991722,
Nov-2008,1012646,
Dec-2008,1017321,
Jan-2009,1043692,
Feb-2009,1052873,
Mar-2009,1071396,
Apr-2009,1078517,
May-2009,1091096,
Jun-2009,1101909,
Jul-2009,1107678,
Aug-2009,1091589,
Sep-2009,1105322,
Oct-2009,1081998,
Nov-2009,1069770,
Dec-2009,1031720,
Jan-2010,1037703,
Feb-2010,1036499,
Mar-2010,1039396,
Apr-2010,1062387,
May-2010,1082707,
Jun-2010,1093584,
Jul-2010,1107491,
Aug-2010,1113778,
Sep-2010,1112627,
Oct-2010,1098571,
Nov-2010,1078705,
Dec-2010,1045072,
Jan-2011,1060105,
Feb-2011,1031084,
Mar-2011,1027326,
Apr-2011,1030368,
May-2011,1058003,
Jun-2011,1059644,
Jul-2011,1074990,
Aug-2011,1076529,
Sep-2011,1062175,
Oct-2011,1050255,
Nov-2011,1050236,
Dec-2011,1029191,
Jan-2012,1048124,
Feb-2012,1043351,
Mar-2012,1059899,
Apr-2012,1061543,
May-2012,1074890,
Jun-2012,1087730,
Jul-2012,1090285,
Aug-2012,1078281,
Sep-2012,1097523,
Oct-2012,1087669,
Nov-2012,1087619,
Dec-2012,1083288,
Jan-2013,1085201,
Feb-2013,1063775,
Mar-2013,1066518,
Apr-2013,1081037,
May-2013,1090593,
Jun-2013,1092981,
Jul-2013,1091681,
Aug-2013,1095878,
Sep-2013,1105459,
Oct-2013,1081514,
Nov-2013,1060495,
Dec-2013,1031916,
Jan-2014,1018583,
Feb-2014,1019875,
Mar-2014,1028021,
Apr-2014,1058452,
May-2014,1090563,
Jun-2014,1094336,
Jul-2014,1098391,
Aug-2014,1104092,
Sep-2014,1117202,
Oct-2014,1110795,
Nov-2014,1120163,
Dec-2014,1134482,
Jan-2015,1156464,
Feb-2015,1156888,
Mar-2015,1190114,
Apr-2015,1216148,
May-2015,1236114,
Jun-2015,1244707,
Jul-2015,1241236,
Aug-2015,1263240,
Sep-2015,1272581,
Oct-2015,1280128,
Nov-2015,1294099,
Dec-2015,1286903,
Jan-2016,1318541,
Feb-2016,1322842,
Mar-2016,1329233,
Apr-2016,1340071,
May-2016,1355428,
Jun-2016,1354343,
Jul-2016,1371395,
Aug-2016,1371257,
Sep-2016,1356127,
Oct-2016,1357926,
Nov-2016,1361141,
Dec-2016,1334490,
Jan-2017,1357609,
Feb-2017,1354286,
Mar-2017,1338927,
Apr-2017,1339563,
May-2017,1349478,
Jun-2017,1330709,
Jul-2017,1319576,
Aug-2017,1308417,
Sep-2017,1304140,
Oct-2017,1272249,
Nov-2017,1262034,
Dec-2017,1231739,
Jan-2018,1218372,
Feb-2018,1213564,
Mar-2018,1198628,
Apr-2018,1203730,
May-2018,1212902,
Jun-2018,1209191,
Jul-2018,1214612,
Aug-2018,1233813,
Sep-2018,1273182,
Oct-2018,1263809,
Nov-2018,1262190,
Dec-2018,1264101,
Jan-2019,1262855,
Feb-2019,1244224,
Mar-2019,1240896,
Apr-2019,1259344,
May-2019,1305413,
Jun-2019,1303575,
Jul-2019,1308940,
Aug-2019,1301564,
Sep-2019,1298921,
Oct-2019,1286465,
Nov-2019,1283908,
Dec-2019,1281637,
Jan-2020,1298675,
Feb-2020,1279407,
,,
